(1) GlymaID from Gmax version 2.0. Only primary predicted proteins were included in analyses. For more information on Gmax2.0 cDNAs see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(2) Top Uniref100 BLASTP Hit. Match determined via BLASTP of Gmax2.0 primary proteins against Uniref100 (version 03/27/2014). E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(3) Top Descriptive Uniref100 BLASTP Hit. The BLAST report generated above (2) was parsed to eliminate uninformative hits.  Hits including the words uncharacterized, putative, related, predicted, orf, expressed or containing Arabidopsis or Rice gene identifiers (AtXgXXXXX, OsXXgXXXXX) were ignored. E-value for the top high scoring pair(HSP) is indicated. Top Uniref100 percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(4) Top Arabidopsis (TAIR10) BLASTP Hit (4). Match determined via BLASTP of Gmax2.0 primary proteins against Arabidopsis thaliana proteins (TAIR10). For additional details see www.arabidopsis.org. E-value for the top high scoring pair(HSP) is indicated. Percent coverage determined by dividing the length of the top HSP by the length of the hit sequence.
(5) Gene Ontology Biological Process IDs. GO Biological Process IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(6) Gene Ontology Molecular Function IDs. GO Molecular Function IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v. 10 (03/27/14). Descriptions for the GO terms are also provided.
(7) Gene Ontology Cellular Component IDs. GO Cellular Component IDs were assigned to each Gmax2.0 ID using the GO terms associated with the Top TAIR10 BLASTP Hit (4). The annotation information was obtained from TAIR v 10 (03/27/14). Descriptions for the GO terms are also provided.
(8) PFAM IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(9) PANTHER IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.
(10) KOG IDs and descriptions were assigned by Phytozome. For more information see http://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Gmax.

Gmax 2.0 Primary Protein ID (1)	Protein Length (AA)	Top Uniref100 BLASTP Hit (2)	E-value (E<10-6)	% Coverage	Top Descriptive Uniref100 BLASTP Hit (3)	E-value (E<10-6)	% Coverage	Top Arabidopsis (TAIR10) BLASTP Hit (4)	E-value (E<10-6)	Coverage	Gene Ontology Biological Process IDs (5)	Gene Ontology Biological Process Descriptions	Gene Ontology Molecular Function IDs (6)	Gene Ontology Molecular Function Descriptions	Gene Ontology Cellular Component IDs (7)	Gene Ontology Cellular Component Descriptions	PFAM IDs (8)	PFAM_Descriptions	Panther IDs (9)	Panther_Descriptions	KOG IDs (10)	KOG_Desctiptions
Glyma.01G003100	88	UniRef100_K7K124 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K124_SOYBN	3.00E-58	100	NA	NA	NA	AT4G18400.1|Symbols:|unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).|chr4:10170024-10171221 REVERSE LENGTH=107	7.00E-21	50.47	GO:0008150	biological process	GO:0003674	molecular function	GO:0005634	nucleus	NA	NA	NA	NA	NA	NA	
Glyma.01G003200	206	UniRef100_K7K127 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K127_SOYBN	4.00E-150	100	UniRef100_Q9SU91 Probable acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, mitochondrial n=1 Tax=Arabidopsis thaliana RepID=LPXA_ARATH	3.00E-100	60.12	AT4G29540.2|Symbols:|bacterial transferase hexapeptide repeat-containing protein|chr4:14497775-14499765 FORWARD LENGTH=336	3.00E-103	60.12	GO:0019408 GO:2001289	dolichol biosynthetic process; lipid X metabolic process	GO:0008780	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity	GO:0005739	mitochondrion	NA	NA	PTHR23416	SIALIC ACID SYNTHASE-RELATED	NA	NA	
Glyma.01G003300	223	UniRef100_I1KJV0 Uncharacterized protein n=1 Tax=Glycine max RepID=I1KJV0_SOYBN	2.00E-83	39.67	UniRef100_O04239 Transcripteion factor (Fragment) n=1 Tax=Vicia faba var. minor RepID=O04239_VICFA	8.00E-62	44.83	AT5G56780.1|Symbols:ATET2, ET2|effector of transcription2|chr5:22964384-22966241 REVERSE LENGTH=483	4.00E-37	31.26	GO:2000033	regulation of seed dormancy process	GO:0097100	supercoiled DNA binding	GO:0005634	nucleus	NA	NA	NA	NA	NA	NA	
Glyma.01G003400	453	UniRef100_K7K128 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K128_SOYBN	0	100	UniRef100_G7KJ88 Pentatricopeptide repeat-containing protein n=1 Tax=Medicago truncatula RepID=G7KJ88_MEDTR	0	95.96	AT2G15690.1|Symbols:|Tetratricopeptide repeat (TPR)-like superfamily protein|chr2:6831855-6833594 REVERSE LENGTH=579	1.00E-142	66.67	GO:0008150	biological process	GO:0003674	molecular function	GO:0005739	mitochondrion	PF01535	PPR repeat	PTHR24015	FAMILY NOT NAMED	NA	NA	
Glyma.01G003500	259	UniRef100_I1J4C6 Uncharacterized protein (Fragment) n=1 Tax=Glycine max RepID=I1J4C6_SOYBN	0	100	UniRef100_G7LJK8 Pollen specific protein SF21 n=1 Tax=Medicago truncatula RepID=G7LJK8_MEDTR	9.00E-163	74.35	AT5G56750.1|Symbols:NDL1|N-MYC downregulated-like 1|chr5:22957986-22960606 FORWARD LENGTH=346	1.00E-153	74.57	GO:0030154 GO:0060918	auxin transport; cell differentiation	GO:0003674	molecular function	GO:0005737	cytoplasm	PF03096	Ndr family	PTHR11034	N-MYC DOWNSTREAM REGULATED	KOG2931	Differentiation-related_gene_1_protein_(NDR1_protein),_related_proteins  	
Glyma.01G003600	518	UniRef100_I1J4C7 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4C7_SOYBN	0	100	UniRef100_G7KJA6 Mitochondrial substrate carrier family protein R n=1 Tax=Medicago truncatula RepID=G7KJA6_MEDTR	5.00E-101	64.72	AT5G11780.1|Symbols:|unknown protein; Has 37 Blast hits to 37 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 3; Plants - 34; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).|chr5:3793928-3795983 FORWARD LENGTH=504	3.00E-36	99.01	GO:0008150 GO:0009909 GO:0016570 GO:0048449	biological process; floral organ formation; histone modification; regulation of flower development	GO:0003674	molecular function	GO:0005575	cellular component	NA	NA	NA	NA	NA	NA	
Glyma.01G003700	304	UniRef100_I1J4C8 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4C8_SOYBN	0	100	NA	NA	NA	AT4G29520.1|Symbols:|LOCATED IN: endoplasmic reticulum, plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Saposin B (InterPro:IPR008139); Has 137 Blast hits to 137 proteins in 50 species: Archae - 2; Bacteria - 0; Metazoa - 41; Fungi - 10; Plants - 36; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink).|chr4:14494056-14495657 REVERSE LENGTH=306	1.00E-117	87.91	GO:0006457 GO:0009408 GO:0009627 GO:0009644 GO:0034976 GO:0042542	protein folding; response to endoplasmic reticulum stress; response to heat; response to high light intensity; response to hydrogen peroxide; systemic acquired resistance	NA	NA	GO:0005783 GO:0005886	endoplasmic reticulum; plasma membrane	NA	NA	NA	NA	NA	NA	
Glyma.01G003800	377	UniRef100_I1J4C9 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4C9_SOYBN	0	100	UniRef100_G7KJ80 Arginine methyltransferease n=1 Tax=Medicago truncatula RepID=G7KJ80_MEDTR	0	95.12	AT4G29510.1|Symbols:ATPRMT11, PRMT11, ATPRMT1B, PRMT1B|arginine methyltransferase 11|chr4:14491739-14493752 FORWARD LENGTH=390	0	90.77	GO:0006479 GO:0009909 GO:0034968	histone lysine methylation; protein methylation; regulation of flower development	GO:0005515 GO:0008276 GO:0016274	protein-arginine N-methyltransferase activity; protein binding; protein methyltransferase activity	GO:0005634 GO:0005737 GO:0005829	cytoplasm; cytosol; nucleus	PF06325	Ribosomal protein L11 methyltransferase (PrmA)	PTHR11006	PROTEIN ARGININE N-METHYLTRANSFERASE	KOG1499	Protein_arginine_N-methyltransferase_PRMT1_and_related_enzymes  	
Glyma.01G003900	447	UniRef100_I1J4D1 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4D1_SOYBN	0	100	UniRef100_Q9SEJ6 1-aminocyclopropane-1-carboxylate synthase 5 n=1 Tax=Lupinus albus RepID=Q9SEJ6_LUPAL	0	99.55	AT4G26200.1|Symbols:ACS7, ATACS7|1-amino-cyclopropane-1-carboxylate synthase 7|chr4:13275307-13276946 FORWARD LENGTH=447	0	96.42	GO:0006865 GO:0009058 GO:0009693 GO:0042218	1-aminocyclopropane-1-carboxylate biosynthetic process; amino acid transport; biosynthetic process; ethylene biosynthetic process	GO:0003824 GO:0005515 GO:0016740 GO:0016847 GO:0030170 GO:0042802	1-aminocyclopropane-1-carboxylate synthase activity; catalytic activity; identical protein binding; protein binding; pyridoxal phosphate binding; transferase activity	GO:0005737	cytoplasm	PF00155	Aminotransferase class I and II	PTHR11751	SUBGROUP I AMINOTRANSFERASE RELATED	KOG0256	1-aminocyclopropane-1-carboxylate_synthase,_and_related_proteins  	
Glyma.01G004000	139	UniRef100_I1J4D2 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4D2_SOYBN	5.00E-96	100	UniRef100_D7P7X4 Phospholipase A2 beta n=2 Tax=Citrus sinensis RepID=D7P7X4_CITSI	4.00E-50	46.59	AT4G29460.1|Symbols:|Phospholipase A2 family protein|chr4:14483066-14483930 REVERSE LENGTH=187	4.00E-46	71.66	GO:0009555 GO:0009846 GO:0009860	pollen development; pollen germination; pollen tube growth	GO:0004623	phospholipase A2 activity	GO:0005576 GO:0005783 GO:0005794	Golgi apparatus; endoplasmic reticulum; extracellular region	NA	NA	NA	NA	NA	NA	
Glyma.01G004100	1065	UniRef100_K7K129 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K129_SOYBN	0	100	UniRef100_G7KJ72 IST1-like protein n=1 Tax=Medicago truncatula RepID=G7KJ72_MEDTR	0	97.97	AT2G19710.1|Symbols:|Regulator of Vps4 activity in the MVB pathway protein|chr2:8506339-8509817 FORWARD LENGTH=937	4.00E-97	37.78	GO:0008150	biological process	NA	NA	NA	NA	PF03398	Regulator of Vps4 activity in the MVB pathway	PTHR12161	UNCHARACTERIZED DUF292	KOG2027	Spindle_pole_body_protein  	
Glyma.01G004200	239	UniRef100_I1J4D5 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4D5_SOYBN	2.00E-172	100	UniRef100_G7KJ71 Caffeoyl-CoA O-methyltransferase n=1 Tax=Medicago truncatula RepID=G7KJ71_MEDTR	4.00E-139	100	AT4G26220.1|Symbols:|S-adenosyl-L-methionine-dependent methyltransferases superfamily protein|chr4:13284179-13285146 FORWARD LENGTH=232	2.00E-102	96.12	NA	NA	GO:0042409	caffeoyl-CoA O-methyltransferase activity	GO:0005829	cytosol	PF01596	O-methyltransferase	PTHR10509	O-METHYLTRANSFERASE-RELATED	KOG1663	O-methyltransferase  	
Glyma.01G004300	121	UniRef100_C6SVR2 Uncharacterized protein n=1 Tax=Glycine max RepID=C6SVR2_SOYBN	1.00E-79	100	UniRef100_G7KIQ1 60S ribosomal protein L31 n=1 Tax=Medicago truncatula RepID=G7KIQ1_MEDTR	5.00E-75	99.17	AT2G19740.1|Symbols:|Ribosomal protein L31e family protein|chr2:8513577-8514346 FORWARD LENGTH=119	2.00E-65	100	GO:0006412 GO:0042254	ribosome biogenesis; translation	GO:0003735	structural constituent of ribosome	GO:0005622 GO:0005737 GO:0005840 GO:0005886 GO:0009507 GO:0022625 GO:0022626	chloroplast; cytoplasm; cytosolic large ribosomal subunit; cytosolic ribosome; intracellular; plasma membrane; ribosome	PF01198	Ribosomal protein L31e	PTHR10956	60S RIBOSOMAL PROTEIN L31	KOG0893	60S_ribosomal_protein_L31  	
Glyma.01G004400	563	UniRef100_I1J4E0 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4E0_SOYBN	0	100	UniRef100_D7L337 Pentatricopeptide repeat-containing protein n=1 Tax=Arabidopsis lyrata subsp. lyrata RepID=D7L337_ARALL	0	76.09	AT3G14330.1|Symbols:|Tetratricopeptide repeat (TPR)-like superfamily protein|chr3:4779688-4782451 REVERSE LENGTH=710	0	73.94	GO:0008150 GO:0016556	biological process; mRNA modification	NA	NA	GO:0005739	mitochondrion	PF01535	PPR repeat	PTHR24015	FAMILY NOT NAMED	NA	NA	
Glyma.01G004500	219	UniRef100_I1J4E1 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4E1_SOYBN	1.00E-151	100	UniRef100_M8BLA4 Vacuolar protein sorting-associated 32-1-like protein n=1 Tax=Aegilops tauschii RepID=M8BLA4_AEGTA	5.00E-108	97.75	AT4G29160.3|Symbols:SNF7.1|SNF7 family protein|chr4:14381019-14382342 FORWARD LENGTH=219	1.00E-109	99.54	GO:0015031 GO:0016192	protein transport; vesicle-mediated transport	GO:0005515	protein binding	GO:0000815 GO:0005737	ESCRT III complex; cytoplasm	PF03357	Snf7	PTHR22761	SNF7 - RELATED	KOG1656	Protein_involved_in_glucose_derepression_and_pre-vacuolar_endosome_protein_sorting  	
Glyma.01G004600	66	UniRef100_C6SXX1 Putative uncharacterized protein n=2 Tax=Glycine max RepID=C6SXX1_SOYBN	2.00E-35	100	UniRef100_Q9M373 Arabinogalactan peptide 20 n=1 Tax=Arabidopsis thaliana RepID=AGP20_ARATH	5.00E-13	82.43	AT3G61640.1|Symbols:AGP20, AtAGP20|arabinogalactan protein 20|chr3:22810283-22810629 REVERSE LENGTH=74	5.00E-16	82.43	GO:0008150 GO:0009612	biological process; response to mechanical stimulus	NA	NA	GO:0005886 GO:0031225	anchored to membrane; plasma membrane	PF06376	Protein of unknown function (DUF1070)	NA	NA	NA	NA	
Glyma.01G004700	219	UniRef100_I1J4E4 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4E4_SOYBN	1.00E-157	100	UniRef100_Q8GYD2 Meiotic nuclear division protein 1 homolog n=2 Tax=Arabidopsis thaliana RepID=MND1_ARATH	3.00E-122	93.48	AT4G29170.1|Symbols:ATMND1|Mnd1 family protein|chr4:14382985-14385128 FORWARD LENGTH=230	3.00E-125	93.48	GO:0000278 GO:0000724 GO:0006261 GO:0006275 GO:0006302 GO:0006306 GO:0006312 GO:0006355 GO:0007062 GO:0007126 GO:0007129 GO:0007131 GO:0009553 GO:0009555 GO:0009560 GO:0010212 GO:0010332 GO:0016444 GO:0016568 GO:0031047 GO:0042138 GO:0042991 GO:0043687 GO:0045132 GO:0045893 GO:0051726	DNA-dependent DNA replication; DNA methylation; chromatin modification; double-strand break repair; double-strand break repair via homologous recombination; embryo sac development; embryo sac egg cell differentiation; gene silencing by RNA; meiosis; meiotic DNA double-strand break formation; meiotic chromosome segregation; mitotic cell cycle; mitotic recombination; pollen development; positive regulation of transcription, DNA-dependent; post-translational protein modification; reciprocal meiotic recombination; regulation of DNA replication; regulation of cell cycle; regulation of transcription, DNA-dependent; response to gamma radiation; response to ionizing radiation; sister chromatid cohesion; somatic cell DNA recombination; synapsis; transcription factor import into nucleus	GO:0003674 GO:0005515	molecular function; protein binding	GO:0005634	nucleus	PF03962	Mnd1 family	NA	NA	KOG3433	Protein_involved_in_meiotic_recombination/predicted_coiled-coil_protein  	
Glyma.01G004800	902	UniRef100_K7K137 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K137_SOYBN	0	100	UniRef100_F4JMW3 Protein root hair specific 16 n=1 Tax=Arabidopsis thaliana RepID=F4JMW3_ARATH	0	96.6	AT4G29180.2|Symbols:RHS16|root hair specific 16|chr4:14385631-14389524 FORWARD LENGTH=913	0	96.39	GO:0006468 GO:0048765	protein phosphorylation; root hair cell differentiation	GO:0004672 GO:0004674 GO:0004713 GO:0005524 GO:0016301 GO:0016772	ATP binding; kinase activity; protein kinase activity; protein serine/threonine kinase activity; protein tyrosine kinase activity; transferase activity, transferring phosphorus-containing groups	GO:0005886	plasma membrane	PF07714	Protein tyrosine kinase	PTHR24420	LEUCINE-RICH REPEAT RECEPTOR-LIKE PROTEIN KINASE	KOG1187	Serine/threonine_protein_kinase  	
Glyma.01G004900	262	UniRef100_Q09GS3 Transcription factor MYBJ6 n=1 Tax=Glycine max RepID=Q09GS3_SOYBN	0	100	UniRef100_Q09GS3 Transcription factor MYBJ6 n=1 Tax=Glycine max RepID=Q09GS3_SOYBN	0	100	AT5G57620.1|Symbols:MYB36, AtMYB36|myb domain protein 36|chr5:23334904-23336388 FORWARD LENGTH=333	4.00E-69	35.74	GO:0006355	regulation of transcription, DNA-dependent	GO:0003677 GO:0003700	DNA binding; sequence-specific DNA binding transcription factor activity	GO:0005634	nucleus	PF00249	Myb-like DNA-binding domain	PTHR10641	MYB-LIKE DNA-BINDING PROTEIN MYB	KOG0048	Transcription_factor,_Myb_superfamily  	
Glyma.01G005000	351	UniRef100_I1J4E8 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4E8_SOYBN	0	100	UniRef100_E1U3U6 Zinc finger protein ZF3 n=1 Tax=Cicer arietinum RepID=E1U3U6_CICAR	2.00E-165	90.65	AT2G19810.1|Symbols:|CCCH-type zinc finger family protein|chr2:8550419-8551498 FORWARD LENGTH=359	1.00E-131	97.21	GO:0006355 GO:0006661 GO:0006979 GO:0015996	chlorophyll catabolic process; phosphatidylinositol biosynthetic process; regulation of transcription, DNA-dependent; response to oxidative stress	GO:0003676 GO:0003700 GO:0008270	nucleic acid binding; sequence-specific DNA binding transcription factor activity; zinc ion binding	GO:0005634 GO:0005886	nucleus; plasma membrane	PF00642	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	PTHR14493	UNCHARACTERIZED	KOG1595	CCCH-type_Zn-finger_protein  	
Glyma.01G005100	312	UniRef100_C6TN32 Uncharacterized protein n=1 Tax=Glycine max RepID=C6TN32_SOYBN	0	100	UniRef100_G7LJN9 Inositol oxygenase n=2 Tax=Medicago truncatula RepID=G7LJN9_MEDTR	4.00E-157	98.42	AT2G19800.1|Symbols:MIOX2|myo-inositol oxygenase 2|chr2:8531106-8533354 REVERSE LENGTH=317	2.00E-156	93.38	GO:0006949 GO:0019310 GO:0055114	inositol catabolic process; oxidation-reduction process; syncytium formation	GO:0005506 GO:0050113	inositol oxygenase activity; iron ion binding	GO:0005737	cytoplasm	PF05153	Family of unknown function (DUF706) 	PTHR12588	MYOINOSITOL OXYGENASE	KOG1573	Aldehyde_reductase  	
Glyma.01G005200	627	UniRef100_I1J4F4 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4F4_SOYBN	0	100	UniRef100_G7KHZ7 Gamma-glutamyltranspeptidase n=1 Tax=Medicago truncatula RepID=G7KHZ7_MEDTR	0	99.2	AT4G29210.1|Symbols:GGT3, GGT4|gamma-glutamyl transpeptidase 4|chr4:14400990-14403319 FORWARD LENGTH=637	0	87.76	GO:0006751 GO:0006805	glutathione catabolic process; xenobiotic metabolic process	GO:0003840 GO:0016756	gamma-glutamyltransferase activity; glutathione gamma-glutamylcysteinyltransferase activity	GO:0005773	vacuole	PF01019	Gamma-glutamyltranspeptidase	PTHR11686	GAMMA GLUTAMYL TRANSPEPTIDASES	KOG2410	Gamma-glutamyltransferase  	
Glyma.01G005300	144	UniRef100_C6SXR3 Uncharacterized protein n=1 Tax=Glycine max RepID=C6SXR3_SOYBN	3.00E-100	100	UniRef100_B9H8U9 Clathrin adaptor complex small chain family protein n=1 Tax=Populus trichocarpa RepID=B9H8U9_POPTR	1.00E-97	100	AT2G19790.1|Symbols:|SNARE-like superfamily protein|chr2:8527302-8528395 FORWARD LENGTH=143	9.00E-99	99.3	GO:0006301 GO:0006810 GO:0006886 GO:0015031	intracellular protein transport; postreplication repair; protein transport; transport	GO:0008565	protein transporter activity	GO:0005794 GO:0030125	Golgi apparatus; clathrin vesicle coat	PF01217	Clathrin adaptor complex small chain	PTHR11753	CLATHRIN COAT ASSEMBLY PROTEIN	KOG0934	Clathrin_adaptor_complex,_small_subunit  	
Glyma.01G005400	540	UniRef100_I1J4F8 Uncharacterized protein n=2 Tax=Glycine max RepID=I1J4F8_SOYBN	0	100	UniRef100_G7KHY6 6-phosphofructokinase n=1 Tax=Medicago truncatula RepID=G7KHY6_MEDTR	0	94.26	AT4G26270.1|Symbols:PFK3|phosphofructokinase 3|chr4:13301094-13304030 REVERSE LENGTH=489	0	99.39	GO:0006096 GO:0010053	glycolysis; root epidermal cell differentiation	GO:0003872 GO:0005524	6-phosphofructokinase activity; ATP binding	GO:0005737 GO:0005829 GO:0005945	6-phosphofructokinase complex; cytoplasm; cytosol	PF00365	Phosphofructokinase	PTHR13697	PHOSPHOFRUCTOKINASE	KOG2440	Pyrophosphate-dependent_phosphofructo-1-kinase  	
Glyma.01G005500	452	UniRef100_I1J4G0 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4G0_SOYBN	0	100	UniRef100_R4NHT4 NAC transcription factor 094 n=1 Tax=Jatropha curcas RepID=R4NHT4_JATCU	0	98.04	AT4G29230.1|Symbols:anac075, NAC075|NAC domain containing protein 75|chr4:14410338-14414956 FORWARD LENGTH=498	5.00E-140	44.58	GO:0006355 GO:0007275	multicellular organismal development; regulation of transcription, DNA-dependent	GO:0003677 GO:0003700	DNA binding; sequence-specific DNA binding transcription factor activity	GO:0005634	nucleus	PF02365	No apical meristem (NAM) protein	NA	NA	NA	NA	
Glyma.01G005600	485	UniRef100_C6ZS06 Leucine-rich repeat family protein / extensin family protein n=1 Tax=Glycine max RepID=C6ZS06_SOYBN	0	100	UniRef100_C6ZS06 Leucine-rich repeat family protein / extensin family protein n=1 Tax=Glycine max RepID=C6ZS06_SOYBN	0	100	AT4G29240.1|Symbols:|Leucine-rich repeat (LRR) family protein|chr4:14418826-14420073 FORWARD LENGTH=415	9.00E-160	87.23	GO:0008150	biological process	NA	NA	GO:0005576	extracellular region	PF00560 PF08263	Leucine Rich Repeat; Leucine rich repeat N-terminal domain	PTHR26393	No Available Panther Description	NA	NA	
Glyma.01G005700	212	UniRef100_K7K144 Uncharacterized protein n=1 Tax=Glycine max RepID=K7K144_SOYBN	4.00E-150	97.24	UniRef100_G7KQI1 Acid phosphatase-like protein n=1 Tax=Medicago truncatula RepID=G7KQI1_MEDTR	6.00E-54	67.86	AT4G29260.1|Symbols:|HAD superfamily, subfamily IIIB acid phosphatase|chr4:14422310-14423409 REVERSE LENGTH=255	5.00E-41	66.27	NA	NA	GO:0003993	acid phosphatase activity	GO:0005576 GO:0005773 GO:0005774 GO:0005829	cytosol; extracellular region; vacuolar membrane; vacuole	PF03767	HAD superfamily, subfamily IIIB (Acid phosphatase)	PTHR11726	60S RIBOSOMAL PROTEIN L10	NA	NA	
Glyma.01G005800	429	UniRef100_I1J4G3 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4G3_SOYBN	0	100	NA	NA	NA	AT4G29310.1|Symbols:|Protein of unknown function (DUF1005)|chr4:14437892-14439609 REVERSE LENGTH=424	0	99.76	GO:0008150	biological process	GO:0003674	molecular function	GO:0005634 GO:0009505	nucleus; plant-type cell wall	PF06219	Protein of unknown function (DUF1005)	NA	NA	NA	NA	
Glyma.01G005900	134	UniRef100_I1J4G4 Profilin n=1 Tax=Glycine max RepID=I1J4G4_SOYBN	2.00E-91	100	UniRef100_I1J4G4 Profilin n=1 Tax=Glycine max RepID=I1J4G4_SOYBN	2.00E-91	100	AT4G29340.1|Symbols:PRF4|profilin 4|chr4:14447718-14448467 FORWARD LENGTH=134	1.00E-78	99.25	GO:0006457 GO:0007010 GO:0007015 GO:0009408 GO:0009644 GO:0030036 GO:0042542	actin cytoskeleton organization; actin filament organization; cytoskeleton organization; protein folding; response to heat; response to high light intensity; response to hydrogen peroxide	GO:0003779	actin binding	GO:0005634 GO:0005737 GO:0015629 GO:0048046	actin cytoskeleton; apoplast; cytoplasm; nucleus	PF00235	Profilin	PTHR11604	PROFILIN	KOG1755	Profilin  	
Glyma.01G006000	188	UniRef100_C6SYZ5 Uncharacterized protein n=1 Tax=Glycine max RepID=C6SYZ5_SOYBN	5.00E-132	100	UniRef100_Q9LVB9 Emb|CAB83157.1 n=1 Tax=Arabidopsis thaliana RepID=Q9LVB9_ARATH	2.00E-21	54.07	AT5G56550.1|Symbols:OXS3, ATOXS3|oxidative stress 3|chr5:22895847-22896502 REVERSE LENGTH=172	2.00E-24	54.07	GO:0006979 GO:0046686	response to cadmium ion; response to oxidative stress	GO:0003674	molecular function	GO:0005634 GO:0016607	nuclear speck; nucleus	NA	NA	NA	NA	NA	NA	
Glyma.01G006100	652	UniRef100_I1J4G6 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4G6_SOYBN	0	100	UniRef100_W0G2X0 Arginyl-tRNA synthetase n=1 Tax=Dioclea megacarpa RepID=W0G2X0_9FABA	0	99.83	AT4G26300.1|Symbols:emb1027|Arginyl-tRNA synthetase, class Ic|chr4:13308400-13313109 REVERSE LENGTH=642	0	97.98	GO:0006164 GO:0006418 GO:0006420 GO:0009793 GO:0010162 GO:0010564 GO:0048366 GO:0048825	arginyl-tRNA aminoacylation; cotyledon development; embryo development ending in seed dormancy; leaf development; purine nucleotide biosynthetic process; regulation of cell cycle process; seed dormancy process; tRNA aminoacylation for protein translation	GO:0000166 GO:0004812 GO:0004814 GO:0005524	ATP binding; aminoacyl-tRNA ligase activity; arginine-tRNA ligase activity; nucleotide binding	GO:0005737 GO:0005739 GO:0009507 GO:0009570	chloroplast; chloroplast stroma; cytoplasm; mitochondrion	PF03485 PF00750 PF05746	Arginyl tRNA synthetase N terminal domain; tRNA synthetases class I (R); DALR anticodon binding domain	PTHR11956	ARGINYL-TRNA SYNTHETASE	KOG4426	Arginyl-tRNA_synthetase  	
Glyma.01G006200	75	UniRef100_I1J4G7 Uncharacterized protein n=1 Tax=Glycine max RepID=I1J4G7_SOYBN	4.00E-46	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
Glyma.01G006300	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
